Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5301","Disponibilité intérieure","2514","Maïs et produits","2013","2013","Milliers de tonnes","7961","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5521","Aliments pour animaux","2514","Maïs et produits","2013","2013","Milliers de tonnes","6136","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5123","Pertes","2514","Maïs et produits","2013","2013","Milliers de tonnes","122","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5142","Nourriture","2514","Maïs et produits","2013","2013","Milliers de tonnes","1003","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5301","Disponibilité intérieure","2515","Seigle et produits","2013","2013","Milliers de tonnes","4872","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5521","Aliments pour animaux","2515","Seigle et produits","2013","2013","Milliers de tonnes","3318","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5123","Pertes","2515","Seigle et produits","2013","2013","Milliers de tonnes","116","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5142","Nourriture","2515","Seigle et produits","2013","2013","Milliers de tonnes","793","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","818","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5521","Aliments pour animaux","2516","Avoine","2013","2013","Milliers de tonnes","652","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5123","Pertes","2516","Avoine","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","127","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5301","Disponibilité intérieure","2517","Millet et produits","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","79","Allemagne","5521","Aliments pour animaux","2517","Millet et produits","2013","2013","Milliers de tonnes","3","S","Données standardisées"
